2025-10-05 15:20:10,762 | DEBUG | root | Новый клиент: БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101) | всего=76236.0, проср=76236.0, дней=58
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101): 'Реализация товаров и услуг Бе00-040580 от 15.08.2025 0:00:00' | номера=['Бе00-040580']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101): 'Реализация товаров и услуг Бе00-043217 от 28.08.2025 0:00:00' | номера=['Бе00-043217']
2025-10-05 15:20:10,762 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101): 'Реализация товаров и услуг Бе00-044761 от 05.09.2025 0:00:00' | номера=['Бе00-044761']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101): 'Реализация товаров и услуг Бе00-039102 от 08.08.2025 0:00:00' | номера=['Бе00-039102']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101): 'Реализация товаров и услуг Бе00-046667 от 16.09.2025 0:00:00' | номера=['Бе00-046667']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101): 'Реализация товаров и услуг Бе00-048781 от 26.09.2025 0:00:00' | номера=['Бе00-048781']
2025-10-05 15:20:10,764 | DEBUG | root | Финализирован: БУРГЕР РУС ООО - Колягин (Красный пр-кт, дом № 101) | сум=76236.0, проср=76236.0, дней=58, реализаций=6
2025-10-05 15:20:10,764 | DEBUG | root | Новый клиент: Есинский А. Е. ИП - Колягин (Озерный п, Солнечный мкр, дом № 333) | всего=73405.12, проср=73405.12, дней=545
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Есинский А. Е. ИП - Колягин (Озерный п, Солнечный мкр, дом № 333): 'Реализация товаров и услуг Бе00-049737 от 01.10.2025 0:00:00' | номера=['Бе00-049737']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Есинский А. Е. ИП - Колягин (Озерный п, Солнечный мкр, дом № 333): 'Реализация товаров и услуг Бе00-048353 от 24.09.2025 0:00:00' | номера=['Бе00-048353']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Есинский А. Е. ИП - Колягин (Озерный п, Солнечный мкр, дом № 333): 'Реализация товаров и услуг Бе00-046978 от 17.09.2025 0:00:00' | номера=['Бе00-046978']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Есинский А. Е. ИП - Колягин (Озерный п, Солнечный мкр, дом № 333): 'Реализация товаров и услуг Бе00-014646 от 10.04.2024 0:00:00' | номера=['Бе00-014646']
2025-10-05 15:20:10,764 | DEBUG | root | Финализирован: Есинский А. Е. ИП - Колягин (Озерный п, Солнечный мкр, дом № 333) | сум=73405.12, проср=73405.12, дней=545, реализаций=4
2025-10-05 15:20:10,764 | DEBUG | root | Новый клиент: Пронькина Марина Викторовна ИП - Колягин | всего=63852.67, проср=63852.67, дней=991
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Пронькина Марина Викторовна ИП - Колягин: 'Реализация товаров и услуг Бе00-044875 от 05.09.2025 0:00:00' | номера=['Бе00-044875']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Пронькина Марина Викторовна ИП - Колягин: 'Реализация товаров и услуг Бе00-046734 от 17.09.2025 0:00:00' | номера=['Бе00-046734']
2025-10-05 15:20:10,764 | DEBUG | root | Реализация у Пронькина Марина Викторовна ИП - Колягин: 'Реализация товаров и услуг Бе00-049053 от 26.09.2025 13:51:5' | номера=['Бе00-049053']
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у Пронькина Марина Викторовна ИП - Колягин: 'Реализация товаров и услуг Бе00-043497 от 29.08.2025 0:00:00' | номера=['Бе00-043497']
2025-10-05 15:20:10,766 | DEBUG | root | Финализирован: Пронькина Марина Викторовна ИП - Колягин | сум=63852.67, проср=63852.67, дней=991, реализаций=4
2025-10-05 15:20:10,766 | DEBUG | root | Новый клиент: БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238) | всего=63679.2, проср=63679.2, дней=44
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238): 'Реализация товаров и услуг Бе00-041702 от 22.08.2025 0:00:00' | номера=['Бе00-041702']
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238): 'Реализация товаров и услуг Бе00-044713 от 05.09.2025 0:00:00' | номера=['Бе00-044713']
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238): 'Реализация товаров и услуг Бе00-046679 от 16.09.2025 0:00:00' | номера=['Бе00-046679']
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238): 'Реализация товаров и услуг Бе00-042961 от 28.08.2025 0:00:00' | номера=['Бе00-042961']
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238): 'Реализация товаров и услуг Бе00-049426 от 01.10.2025 0:00:00' | номера=['Бе00-049426']
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238): 'Реализация товаров и услуг Бе00-050076 от 03.10.2025 0:00:00' | номера=['Бе00-050076']
2025-10-05 15:20:10,766 | DEBUG | root | Финализирован: БУРГЕР РУС ООО - Колягин (Фрунзе ул, дом № 238) | сум=63679.2, проср=63679.2, дней=44, реализаций=6
2025-10-05 15:20:10,766 | DEBUG | root | Новый клиент: Урсегов Василий Сергеевич ИП - Колягин | всего=56583.73, проср=56583.73, дней=34
2025-10-05 15:20:10,766 | DEBUG | root | Реализация у Урсегов Василий Сергеевич ИП - Колягин: 'Реализация товаров и услуг Пп00-006968 от 04.10.2025 0:00:00' | номера=['Пп00-006968']
